state,state_abbreviation,highest_point,highest_elevation,lowest_point,lowest_elevation
alabama,al,cheaha mountain,734,gulf of mexico,0
alaska,ak,mount mckinley,6194,pacific ocean,0
arizona,az,humphreys peak,3851,colorado river,21
arkansas,ar,magazine mountain,839,ouachita river,17
california,ca,mount whitney,4418,death valley,-85
colorado,co,mount elbert,4399,arkansas river,1021
connecticut,ct,mount frissell,725,long island sound,0
delaware,de,centerville,135,atlantic ocean,0
district of columbia,dc,tenleytown,125,potomac river,0
florida,fl,walton county,105,atlantic ocean,0
georgia,ga,brasstown bald,1458,atlantic ocean,0
hawaii,hi,mauna kea,4205,pacific ocean,0
idaho,id,borah peak,3859,snake river,216
illinois,il,charles mound,376,mississippi river,85
indiana,in,franklin township,383,ohio river,98
iowa,ia,ocheyedan mound,511,mississippi river,146
kansas,ks,mount sunflower,1231,verdigris river,207
kentucky,ky,black mountain,1263,mississippi river,78
louisiana,la,driskill mountain,163,new orleans,-1
maine,me,mount katahdin,1606,atlantic ocean,0
maryland,md,backbone mountain,1024,atlantic ocean,0
massachusetts,ma,mount greylock,1064,atlantic ocean,0
michigan,mi,mount curwood,604,lake erie,174
minnesota,mn,eagle mountain,701,lake superior,183
mississippi,ms,woodall mountain,246,gulf of mexico,0
missouri,mo,taum sauk mountain,540,st. francis river,70
montana,mt,granite peak,3901,kootenai river,549
nebraska,ne,johnson township,1654,southeast corner,256
nevada,nv,boundary peak,4005,colorado river,143
new hampshire,nh,mount washington,1917,atlantic ocean,0
new jersey,nj,high point,550,atlantic ocean,0
new mexico,nm,wheeler peak,4011,red bluff reservoir,859
new york,ny,mount marcy,1629,atlantic ocean,0
north carolina,nc,mount mitchell,2037,atlantic ocean,0
north dakota,nd,white butte,1069,red river,229
ohio,oh,campbell hill,472,ohio river,132
oklahoma,ok,black mesa,1516,little river,87
oregon,or,mount hood,3424,pacific ocean,0
pennsylvania,pa,mount davis,979,delaware river,0
rhode island,ri,jerimoth hill,247,atlantic ocean,0
south carolina,sc,sassafras mountain,1085,atlantic ocean,0
south dakota,sd,harney peak,2207,big stone lake,284
tennessee,tn,clingmans dome,2025,mississippi river,55
texas,tx,guadalupe peak,2667,gulf of mexico,0
utah,ut,kings peak,4123,beaver dam creek,610
vermont,vt,mount mansfield,1339,lake champlain,29
virginia,va,mount rogers,1746,atlantic ocean,0
washington,wa,mount rainier,4392,pacific ocean,0
west virginia,wv,spruce knob,1482,potomac river,73
wisconsin,wi,timms hill,595,lake michigan,177
wyoming,wy,gannett peak,4202,belle fourche river,945