state,state_abbreviation,name,height
alaska,ak,mckinley,6194
alaska,ak,st. elias,5489
alaska,ak,foraker,5304
alaska,ak,bona,5044
alaska,ak,blackburn,4996
alaska,ak,kennedy,4964
alaska,ak,sanford,4949
alaska,ak,south buttress,4842
alaska,ak,vancouver,4785
alaska,ak,churchill,4766
alaska,ak,fairweather,4663
alaska,ak,hubbard,4577
alaska,ak,bear,4520
alaska,ak,east buttress,4490
alaska,ak,hunter,4442
alaska,ak,alverstone,4439
alaska,ak,browne tower,4429
california,ca,whitney,4418
colorado,co,elbert,4399
colorado,co,massive,4396
colorado,co,harvard,4395
washington,wa,rainier,4392
california,ca,williamson,4382
colorado,co,bianca,4372
colorado,co,la plata,4370
colorado,co,uncompahgre,4361
colorado,co,crestone,4357
colorado,co,lincoln,4354
colorado,co,grays,4349
colorado,co,antero,4349
colorado,co,torreys,4349
colorado,co,castle,4348
colorado,co,quandary,4348
colorado,co,evans,4348
colorado,co,longs,4345
colorado,co,wilson,4342
california,ca,white,4342
california,ca,north palisade,4341
colorado,co,shavano,4337
colorado,co,belford,4327
colorado,co,princeton,4327
colorado,co,crestone needle,4327
colorado,co,yale,4327
colorado,co,bross,4320
colorado,co,kit carson,4317
alaska,ak,wrangell,4317
california,ca,shasta,4317
california,ca,sill,4317
colorado,co,el diente,4316
colorado,co,maroon,4315