number,[states it passes through]
95,maine:::new hampshire:::rhode island:::connecticut:::new york:::new jersey:::delaware:::maryland:::district of columbia:::virginia:::north carolina:::south carolina:::georgia:::florida
90,massachusetts:::new york:::pennsylvania:::ohio:::indiana:::illinois:::wisconsin:::minnesota:::south dakota:::wyoming:::montana:::idaho:::washington
80,new york:::new jersey:::pennsylvania:::ohio:::indiana:::illinois:::iowa:::nebraska:::wyoming:::utah:::nevada:::california
70,district of columbia:::maryland:::pennsylvania:::ohio:::indiana:::illinois:::missouri:::kansas:::colorado:::utah
10,florida:::alabama:::mississippi:::louisiana:::texas:::new mexico:::arizona:::california
40,north carolina:::tennessee:::arkansas:::oklahoma:::texas:::new mexico:::arizona:::california
15,montana:::idaho:::utah:::arizona:::nevada:::california
20,south carolina:::georgia:::alabama:::mississippi:::louisiana:::texas
35,minnesota:::iowa:::missouri:::kansas:::oklahoma:::texas
55,illinois:::missouri:::arkansas:::tennessee:::mississippi:::louisiana
64,virginia:::west virginia:::kentucky:::indiana:::illinois:::missouri
75,michigan:::ohio:::kentucky:::tennessee:::georgia:::florida
81,new york:::pennsylvania:::maryland:::west virginia:::virginia:::tennessee
77,ohio:::west virginia:::virginia:::north carolina:::south carolina
85,virginia:::north carolina:::south carolina:::georgia:::alabama
94,illinois:::wisconsin:::minnesota:::north dakota:::montana
29,north dakota:::south dakota:::iowa:::missouri
65,indiana:::kentucky:::tennessee:::alabama
84,connecticut:::new york:::new jersey:::pennsylvania
5,washington:::oregon:::california
24,tennessee:::kentucky:::illinois
25,wyoming:::colorado:::new mexico
44,missouri:::oklahoma:::texas
59,tennessee:::georgia:::alabama
74,ohio:::indiana:::illinois
78,new york:::new jersey:::pennsylvania
84,utah:::idaho:::oregon
91,vermont:::massachusetts:::connecticut
93,new hampshire:::vermont:::massachusetts
8,arizona:::california
30,arkansas:::texas
57,illinois:::missouri
66,district of columbia:::virginia
69,michigan:::indiana
71,ohio:::kentucky
76,nebraska:::colorado
79,pennsylvania:::west virginia
83,pennsylvania:::maryland
86,massachusetts:::connecticut
89,vermont:::new hampshire