city_name,[city_name],county,[county],region,[region]
alameda,alameda:::,alameda county,alameda:::county:::,bay area,bay:::area:::
alamo,alamo:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
albany,albany:::,alameda county,alameda:::county:::,bay area,bay:::area:::
alviso,alviso:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
american canyon,american:::canyon:::,unknown,unknown:::,bay area,bay:::area:::
angwin,angwin:::,napa county,napa:::county:::,napa valley,napa:::valley:::
antioch,antioch:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
aptos,aptos:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
aromas,aromas:::,unknown,unknown:::,unknown,unknown:::
atherton,atherton:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
banta,banta:::,unknown,unknown:::,unknown,unknown:::
belmont,belmont:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
belvedere tiburon,belvedere:::tiburon:::,marin county,marin:::county:::,bay area,bay:::area:::
ben lomond,ben:::lomond:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
benicia,benicia:::,solano county,solano:::county:::,bay area,bay:::area:::
berkeley,berkeley:::,alameda county,alameda:::county:::,bay area,bay:::area:::
bethel island,bethel:::island:::,unknown,unknown:::,unknown,unknown:::
big sur,big:::sur:::,monterey county,monterey:::county:::,monterey,monterey:::
bodega bay,bodega:::bay:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
boulder creek,boulder:::creek:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
brentwood,brentwood:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
brisbane,brisbane:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
burlingame,burlingame:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
byron,byron:::,unknown,unknown:::,bay area,bay:::area:::
calistoga,calistoga:::,napa county,napa:::county:::,napa valley,napa:::valley:::
campbell,campbell:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
capitola,capitola:::,unknown,unknown:::,bay area,bay:::area:::
carmel,carmel:::,monterey county,monterey:::county:::,monterey,monterey:::
castro valley,castro:::valley:::,alameda county,alameda:::county:::,bay area,bay:::area:::
castroville,castroville:::,monterey county,monterey:::county:::,monterey,monterey:::
cerritos,cerritos:::,los angeles county,los:::angeles:::county:::,los angeles area,los:::angeles:::area:::
charlotte,charlotte:::,unknown,unknown:::,unknown,unknown:::
clayton,clayton:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
colma,colma:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
columbia,columbia:::,tuolumne county,tuolumne:::county:::,yosemite and mono lake area,yosemite:::and:::mono:::lake:::area:::
concord,concord:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
corte madera,corte:::madera:::,marin county,marin:::county:::,bay area,bay:::area:::
cotati,cotati:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
crockett,crockett:::,unknown,unknown:::,bay area,bay:::area:::
cupertino,cupertino:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
daly city,daly:::city:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
danville,danville:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
davenport,davenport:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
davis,davis:::,yolo county,yolo:::county:::,sacramento area,sacramento:::area:::
dixon,dixon:::,solano county,solano:::county:::,bay area,bay:::area:::
dublin,dublin:::,alameda county,alameda:::county:::,bay area,bay:::area:::
eagan,eagan:::,unknown,unknown:::,unknown,unknown:::
east palo alto,east:::palo:::alto:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
el cerrito,el:::cerrito:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
el granada,el:::granada:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
el sobrante,el:::sobrante:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
emeryville,emeryville:::,alameda county,alameda:::county:::,bay area,bay:::area:::
fairfield,fairfield:::,solano county,solano:::county:::,bay area,bay:::area:::
felton,felton:::,unknown,unknown:::,bay area,bay:::area:::
forestville,forestville:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
fort bragg,fort:::bragg:::,mendocino county,mendocino:::county:::,northern california,northern:::california:::
foster city,foster:::city:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
freedom,freedom:::,unknown,unknown:::,unknown,unknown:::
fremont,fremont:::,alameda county,alameda:::county:::,bay area,bay:::area:::
gilroy,gilroy:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
glen ellen,glen:::ellen:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
half moon bay,half:::moon:::bay:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
hayward,hayward:::,alameda county,alameda:::county:::,bay area,bay:::area:::
healdsburg,healdsburg:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
hercules,hercules:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
hollister,hollister:::,san benito county,san:::benito:::county:::,northern california,northern:::california:::
inverness,inverness:::,marin county,marin:::county:::,bay area,bay:::area:::
jenner,jenner:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
kensington,kensington:::,unknown,unknown:::,bay area,bay:::area:::
kenwood,kenwood:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
la honda,la:::honda:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
lafayette,lafayette:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
larkspur,larkspur:::,marin county,marin:::county:::,bay area,bay:::area:::
livermore,livermore:::,alameda county,alameda:::county:::,bay area,bay:::area:::
los altos,los:::altos:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
los gatos,los:::gatos:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
mammoth lakes,mammoth:::lakes:::,unknown,unknown:::,yosemite and mono lake area,yosemite:::and:::mono:::lake:::area:::
mare island,mare:::island:::,unknown,unknown:::,unknown,unknown:::
marietta,marietta:::,unknown,unknown:::,unknown,unknown:::
marina,marina:::,monterey county,monterey:::county:::,monterey,monterey:::
martinez,martinez:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
menlo park,menlo:::park:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
mill valley,mill:::valley:::,marin county,marin:::county:::,bay area,bay:::area:::
millbrae,millbrae:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
milpitas,milpitas:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
montara,montara:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
monte vista,monte:::vista:::,unknown,unknown:::,unknown,unknown:::
monterey,monterey:::,monterey county,monterey:::county:::,monterey,monterey:::
moraga,moraga:::,unknown,unknown:::,bay area,bay:::area:::
morgan hill,morgan:::hill:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
moss beach,moss:::beach:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
moss landing,moss:::landing:::,monterey county,monterey:::county:::,monterey,monterey:::
mountain view,mountain:::view:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
napa,napa:::,napa county,napa:::county:::,napa valley,napa:::valley:::
newark,newark:::,alameda county,alameda:::county:::,bay area,bay:::area:::
novato,novato:::,marin county,marin:::county:::,bay area,bay:::area:::
oakland,oakland:::,alameda county,alameda:::county:::,bay area,bay:::area:::
oakley,oakley:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
oakville,oakville:::,napa county,napa:::county:::,napa valley,napa:::valley:::
orinda,orinda:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
pacheco,pacheco:::,unknown,unknown:::,unknown,unknown:::
pacific grove,pacific:::grove:::,monterey county,monterey:::county:::,monterey,monterey:::
pacifica,pacifica:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
palo alto,palo:::alto:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
pengrove,pengrove:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
pescadero,pescadero:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
petaluma,petaluma:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
piedmont,piedmont:::,alameda county,alameda:::county:::,bay area,bay:::area:::
pinole,pinole:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
pittsburg,pittsburg:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
pleasant hill,pleasant:::hill:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
pleasanton,pleasanton:::,alameda county,alameda:::county:::,bay area,bay:::area:::
port costa,port:::costa:::,unknown,unknown:::,unknown,unknown:::
portola valley,portola:::valley:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
redwood city,redwood:::city:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
richmond,richmond:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
rio del mar,rio:::del:::mar:::,unknown,unknown:::,unknown,unknown:::
rio vista,rio:::vista:::,solano county,solano:::county:::,bay area,bay:::area:::
rodeo,rodeo:::,unknown,unknown:::,unknown,unknown:::
rohnert park,rohnert:::park:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
rutherford,rutherford:::,napa county,napa:::county:::,napa valley,napa:::valley:::
saint helena,saint:::helena:::,napa county,napa:::county:::,napa valley,napa:::valley:::
salinas,salinas:::,monterey county,monterey:::county:::,monterey,monterey:::
san anselmo,san:::anselmo:::,marin county,marin:::county:::,bay area,bay:::area:::
san bruno,san:::bruno:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
san carlos,san:::carlos:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
san francisco,san:::francisco:::,san francisco county,san:::francisco:::county:::,bay area,bay:::area:::
san jose,san:::jose:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
san juan bautista,san:::juan:::bautista:::,san benito county,san:::benito:::county:::,northern california,northern:::california:::
san leandro,san:::leandro:::,alameda county,alameda:::county:::,bay area,bay:::area:::
san lorenzo,san:::lorenzo:::,alameda county,alameda:::county:::,bay area,bay:::area:::
san martin,san:::martin:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
san mateo,san:::mateo:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
san pablo,san:::pablo:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
san ramon,san:::ramon:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
san rafael,san:::rafael:::,marin county,marin:::county:::,bay area,bay:::area:::
santa clara,santa:::clara:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
santa cruz,santa:::cruz:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
santa rosa,santa:::rosa:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
saratoga,saratoga:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
sausalito,sausalito:::,unknown,unknown:::,bay area,bay:::area:::
scotts valley,scotts:::valley:::,unknown,unknown:::,bay area,bay:::area:::
seaside,seaside:::,monterey county,monterey:::county:::,monterey,monterey:::
sebastopol,sebastopol:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
sonoma,sonoma:::,sonoma county,sonoma:::county:::,bay area,bay:::area:::
sonora,sonora:::,tuolumne county,tuolumne:::county:::,yosemite and mono lake area,yosemite:::and:::mono:::lake:::area:::
soquel,soquel:::,unknown,unknown:::,bay area,bay:::area:::
south lake tahoe,south:::lake:::tahoe:::,el dorado county,el:::dorado:::county:::,lake tahoe,lake:::tahoe:::
south san francisco,south:::san:::francisco:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
suisun city,suisun:::city:::,solano county,solano:::county:::,bay area,bay:::area:::
sunnyvale,sunnyvale:::,santa clara county,santa:::clara:::county:::,bay area,bay:::area:::
tahoe city,tahoe:::city:::,placer county,placer:::county:::,lake tahoe,lake:::tahoe:::
tahoe vista,tahoe:::vista:::,placer county,placer:::county:::,lake tahoe,lake:::tahoe:::
tiburon,tiburon:::,marin county,marin:::county:::,bay area,bay:::area:::
tracy,tracy:::,san joaquin county,san:::joaquin:::county:::,unknown,unknown:::
tres pinos,tres:::pinos:::,unknown,unknown:::,unknown,unknown:::
ukiah,ukiah:::,mendocino county,mendocino:::county:::,northern california,northern:::california:::
union city,union:::city:::,alameda county,alameda:::county:::,bay area,bay:::area:::
vacaville,vacaville:::,solano county,solano:::county:::,bay area,bay:::area:::
vallejo,vallejo:::,solano county,solano:::county:::,bay area,bay:::area:::
vancouver,vancouver:::,unknown,unknown:::,unknown,unknown:::
walnut creek,walnut:::creek:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
watsonville,watsonville:::,santa cruz county,santa:::cruz:::county:::,bay area,bay:::area:::
west pittsburg,west:::pittsburg:::,contra costa county,contra:::costa:::county:::,bay area,bay:::area:::
winters,winters:::,yolo county,yolo:::county:::,sacramento area,sacramento:::area:::
woodside,woodside:::,san mateo county,san:::mateo:::county:::,bay area,bay:::area:::
yountville,yountville:::,napa county,napa:::county:::,napa valley,napa:::valley:::